filename,duration_seconds,duration_label,overall_score,looking_away,frequent_looking_away,face_not_visible,excessive_head_movement,noticeable_fidgeting,distracted_by_offscreen_activity,camera_or_video_issue,reading_from_screen_or_notes,looking_down_frequently,body_out_of_frame,poor_lighting,background_distraction_visible,hand_to_face_or_hair,annotation_quality,notes
sample42.mp4,243.6,04:03,,,,,,,,,,,,,,,,
sample43.mp4,192.78,03:12,,,,,,,,,,,,,,,,
sample44.mp4,214.4,03:34,,,,,,,,,,,,,,,,
sample45.mp4,285.76,04:45,,,,,,,,,,,,,,,,
sample46.mp4,283.37,04:43,,,,,,,,,,,,,,,,
sample47.mp4,270.47,04:30,,,,,,,,,,,,,,,,
sample48.mp4,201.73,03:21,,,,,,,,,,,,,,,,
sample49.mp4,188.23,03:08,,,,,,,,,,,,,,,,
sample50.mp4,298.24,04:58,,,,,,,,,,,,,,,,
sample51.mp4,292.83,04:52,,,,,,,,,,,,,,,,
sample52.mp4,265.13,04:25,,,,,,,,,,,,,,,,
sample53.mp4,293.4,04:53,,,,,,,,,,,,,,,,
sample54.mp4,299.6,04:59,,,,,,,,,,,,,,,,
sample55.mp4,264.9,04:24,,,,,,,,,,,,,,,,
sample56.mp4,250.4,04:10,,,,,,,,,,,,,,,,
sample57.mp4,252.1,04:12,,,,,,,,,,,,,,,,
sample58.mp4,327.8,05:27,,,,,,,,,,,,,,,,
sample59.mp4,200.23,03:20,,,,,,,,,,,,,,,,
sample60.mp4,295.53,04:55,,,,,,,,,,,,,,,,
sample61.mp4,310.1,05:10,,,,,,,,,,,,,,,,
sample62.mp4,173.1,02:53,,,,,,,,,,,,,,,,
sample63.mp4,305.47,05:05,,,,,,,,,,,,,,,,
sample64.mp4,212.44,03:32,,,,,,,,,,,,,,,,
sample65.mp4,289.4,04:49,,,,,,,,,,,,,,,,
sample66.mp4,300.3,05:00,,,,,,,,,,,,,,,,
sample67.mp4,218.4,03:38,,,,,,,,,,,,,,,,
sample68.mp4,247.58,04:07,,,,,,,,,,,,,,,,
sample69.mp4,288.57,04:48,,,,,,,,,,,,,,,,
sample70.mp4,299.37,04:59,,,,,,,,,,,,,,,,
sample71.mp4,298.43,04:58,,,,,,,,,,,,,,,,
sample72.mp4,209.26,03:29,,,,,,,,,,,,,,,,
sample73.mp4,394.2,06:34,,,,,,,,,,,,,,,,
sample74.mp4,197.81,03:17,,,,,,,,,,,,,,,,
sample75.mp4,414.84,06:54,,,,,,,,,,,,,,,,
sample76.mp4,262.73,04:22,,,,,,,,,,,,,,,,
sample77.mp4,296.7,04:56,,,,,,,,,,,,,,,,
sample78.mp4,229.17,03:49,,,,,,,,,,,,,,,,
sample79.mp4,203.1,03:23,,,,,,,,,,,,,,,,
sample80.mp4,296.77,04:56,,,,,,,,,,,,,,,,
sample81.mp4,217.12,03:37,,,,,,,,,,,,,,,,
sample82.mp4,213.65,03:33,,,,,,,,,,,,,,,,
sample83.mp4,233.77,03:53,,,,,,,,,,,,,,,,
sample84.mp4,329.5,05:29,,,,,,,,,,,,,,,,
sample85.mp4,324.93,05:24,,,,,,,,,,,,,,,,
sample86.mp4,299.35,04:59,,,,,,,,,,,,,,,,
